
result: name0115 ---> mIoU=88.3054%, MSE=0.0023, mAcc=0.2245%, time=0.0060s
result: name0116 ---> mIoU=86.3187%, MSE=0.0145, mAcc=0.5776%, time=0.0070s
result: name0117 ---> mIoU=67.6689%, MSE=0.0374, mAcc=0.3037%, time=0.0070s
result: name0118 ---> mIoU=83.6226%, MSE=0.0026, mAcc=0.3722%, time=0.0060s
result: name0119 ---> mIoU=37.1025%, MSE=0.0400, mAcc=0.1243%, time=0.0060s
result: name0120 ---> mIoU=91.3917%, MSE=0.0092, mAcc=0.5325%, time=0.0070s
result: name0121 ---> mIoU=81.2119%, MSE=0.0127, mAcc=0.3214%, time=0.0070s
result: name0122 ---> mIoU=78.0420%, MSE=0.0077, mAcc=0.2425%, time=0.0060s
result: name0123 ---> mIoU=41.6631%, MSE=0.0138, mAcc=0.2307%, time=0.0070s
result: name0124 ---> mIoU=84.4192%, MSE=0.0092, mAcc=0.3356%, time=0.0060s
result: name0125 ---> mIoU=92.0560%, MSE=0.0038, mAcc=0.5569%, time=0.0060s
result: name0126 ---> mIoU=80.7545%, MSE=0.0052, mAcc=0.2343%, time=0.0050s
result: name0127 ---> mIoU=82.5333%, MSE=0.0025, mAcc=0.2150%, time=0.0060s
result: name0128 ---> mIoU=75.1739%, MSE=0.0041, mAcc=0.1888%, time=0.0060s
result: name0129 ---> mIoU=28.3212%, MSE=0.0208, mAcc=0.1849%, time=0.0060s
result: name0130 ---> mIoU=81.1907%, MSE=0.0125, mAcc=0.3346%, time=0.0065s
result: name0131 ---> mIoU=63.4587%, MSE=0.0161, mAcc=0.2565%, time=0.0070s
result: name0132 ---> mIoU=81.4056%, MSE=0.0588, mAcc=0.3432%, time=0.0070s
result: name0133 ---> mIoU=93.2264%, MSE=0.0123, mAcc=0.3481%, time=0.0060s
result: name0134 ---> mIoU=91.1823%, MSE=0.0051, mAcc=0.3464%, time=0.0060s
result: name0135 ---> mIoU=69.8035%, MSE=0.0045, mAcc=0.2306%, time=0.0060s
